time,open,high,low,close
1657719000,9.5,9.62,9.5,9.5
1657719180,9.49,9.57,9.475,9.52
1657719360,9.55,9.6,9.55,9.6
1657719540,9.63,9.7,9.61,9.61
1657719720,9.65,9.7,9.62,9.62
1657719900,9.645,9.68,9.62,9.68
1657720080,9.7,9.75,9.7,9.72
1657720260,9.7,9.745,9.7,9.725
1657720440,9.71,9.71,9.68,9.695
1657720620,9.72,9.76,9.72,9.76
1657720800,9.73,9.73,9.65,9.69
1657720980,9.75,9.76,9.7,9.7
1657721160,9.68,9.68,9.65,9.65
1657721340,9.64,9.68,9.63,9.68
1657721520,9.69,9.74,9.69,9.74
1657721700,9.7,9.7,9.69,9.69
1657721880,9.63,9.63,9.63,9.63
1657722060,9.64,9.65,9.635,9.64
1657722240,9.65,9.705,9.63,9.705
1657722420,9.71,9.71,9.71,9.71
1657722600,9.71,9.81,9.71,9.81
1657722780,9.8,9.8,9.765,9.8
1657722960,9.82,9.82,9.77,9.77
1657723140,9.79,9.845,9.79,9.845
1657723320,9.85,9.9,9.85,9.9
1657723500,9.95,9.96,9.92,9.94
1657723680,9.95,9.96,9.94,9.96
1657723860,9.97,9.97,9.93,9.93
1657724040,9.93,9.94,9.93,9.94
1657724220,9.91,9.915,9.91,9.915
1657724400,9.91,9.91,9.91,9.91
1657724760,9.98,9.98,9.97,9.97
1657724940,9.94,9.95,9.94,9.95
1657725120,9.95,9.95,9.95,9.95
1657725660,9.92,9.92,9.92,9.92
1657725840,9.88,9.88,9.85,9.86
1657726380,9.83,9.83,9.83,9.83
1657726740,9.85,9.85,9.85,9.85
1657726920,9.82,9.82,9.81,9.81
1657727100,9.8,9.8,9.78,9.78
1657727460,9.88,9.88,9.85,9.85
1657727640,9.86,9.86,9.84,9.845
1657728000,9.86,9.86,9.85,9.85
1657728180,9.87,9.87,9.87,9.87
1657728360,9.9,9.9,9.9,9.9
1657728540,9.91,9.91,9.895,9.895
1657729440,9.88,9.88,9.875,9.88
1657729620,9.89,9.895,9.88,9.895
1657729800,9.89,9.9,9.89,9.9
1657729980,9.91,9.91,9.9,9.9
1657730160,9.9,9.9,9.9,9.9
1657730340,9.91,9.92,9.91,9.91
1657730520,9.9,9.9,9.89,9.9
1657730700,9.895,9.895,9.895,9.895
1657731060,9.94,9.94,9.94,9.94
1657731240,9.93,9.93,9.93,9.93
1657731420,9.95,9.96,9.95,9.96
1657731600,9.96,10,9.94,10
1657731780,9.99,10.01,9.99,10.005
1657731960,10.01,10.01,9.975,9.975
1657732140,9.98,9.98,9.975,9.975
1657732320,10.01,10.01,10.01,10.01
1657732500,10,10,9.94,9.94
1657733220,9.95,9.96,9.95,9.96
1657733760,9.94,9.94,9.94,9.94
1657734480,9.96,9.96,9.96,9.96
1657734660,9.97,9.97,9.96,9.96
1657734840,9.96,9.96,9.96,9.96
1657735200,9.94,9.94,9.87,9.875
1657735380,9.86,9.86,9.85,9.85
1657735920,9.875,9.885,9.875,9.885
1657736280,9.9,9.91,9.9,9.91
1657736640,9.93,9.93,9.93,9.93
1657736820,9.93,9.93,9.93,9.93
1657737000,9.965,9.965,9.965,9.965
1657737540,9.99,9.99,9.99,9.99
1657737900,9.98,9.98,9.98,9.98
1657738260,9.97,9.98,9.96,9.96
1657738440,9.95,9.96,9.95,9.96
1657738620,9.93,9.99,9.93,9.99
1657738800,9.96,9.96,9.96,9.96
1657739340,9.925,9.93,9.925,9.93
1657739520,9.965,9.965,9.965,9.965
1657739880,9.965,9.975,9.965,9.975
1657740060,9.945,9.945,9.945,9.945
1657740240,9.93,9.935,9.93,9.935
1657740420,9.925,9.925,9.925,9.925
1657740600,9.93,9.93,9.9,9.9
1657740780,9.88,9.88,9.88,9.88
1657740960,9.885,9.89,9.885,9.89
1657741140,9.91,9.91,9.91,9.91
1657741500,9.88,9.88,9.88,9.88
1657741680,9.88,9.88,9.86,9.86
1657742040,9.89,9.91,9.89,9.9
1657742220,9.89,9.89,9.87,9.87
